PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES,NAME SOURCE,ACCESSION,SEQUENCE TYPE,SEQUENCE SOURCE,BRAZILIAN MAMMAL,AMAZ,MATL,CERR,CAAT,PANT,PAMP,MARI
Chordata,Actinopteri,Pleuronectiformes,Bothidae,Bothus,Bothus pantherinus,GB,AP014587.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Pleuronectiformes,Citharidae,Citharoides,Citharoides macrolepidotus,GB,AP014588.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Pleuronectiformes,Bothidae,Crossorhombus,Crossorhombus kobensis,GB,AP014589.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Cyclopsetta,Cyclopsetta fimbriata,GB,AP014590.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Pleuronectiformes,Bothidae,Laeops,Laeops lanceolata,GB,AP014591.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Pleuronectiformes,Citharidae,Lepidoblepharon,Lepidoblepharon ophthalmolepis,GB,AP014592.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Pleuronectiformes,Rhombosoleidae,Neoachiropsetta,Neoachiropsetta milfordi,GB,AP014593.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus tropicalis,GB,AP014695.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Struthioniformes,Aepyornithidae,Aepyornis,Aepyornis sp.,GB,AP014697.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Struthioniformes,Aepyornithidae,Mullerornis,Mullerornis sp.,GB,AP014698.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Chaenogobius,Chaenogobius annularis,GB,AP014725.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Argentiniformes,Opisthoproctidae,Monacoa,Monacoa niger,GB,AP017322.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Argentiniformes,Opisthoproctidae,Macropinna,Macropinna microstoma,GB,AP017327.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Pleuronectiformes,Bothidae,Chascanopsetta,Chascanopsetta lugubris,GB,AP017455.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Labriformes,Labridae,Calotomus,Calotomus japonicus,GB,AP017568.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Gymnogobius,Gymnogobius heptacanthus,GB,AP017651.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Beloniformes,Exocoetidae,Cheilopogon,Cheilopogon doederleinii,GB,AP017897.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Clupeiformes,Pristigasteridae,Opisthopterus,Opisthopterus tardoore,GB,AP017945.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Clupeiformes,Dussumieriidae,Dussumieria,Dussumieria elopsoides,GB,AP017946.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Clupeiformes,Clupeidae,Amblygaster,Amblygaster sirm,GB,AP017948.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Kraemeriidae,Kraemeria,Kraemeria cunicularia,GB,AP018053.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Schismatogobius,Schismatogobius ninja,GB,AP018056.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Notacanthiformes,Halosauridae,Halosauropsis,Halosauropsis macrochir,GB,AP018130.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Atheriniformes,Atherinidae,Atherinosoma,Atherinosoma microstoma,GB,AP018133.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Atheriniformes,Atherinidae,Craterocephalus,Craterocephalus eyresii,GB,AP018134.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gadiformes,Gadidae,Gadiculus,Gadiculus argenteus,GB,AP018148.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Notacanthiformes,Notacanthidae,Polyacanthonotus,Polyacanthonotus rissoanus,GB,AP018342.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Anguilliformes,Cyematidae,Neocyema,Neocyema erythrosoma,GB,AP018345.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Acropomatiformes,Glaucosomatidae,Glaucosoma,Glaucosoma buergeri,GB,AP018347.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa affinis,GB,AP018371.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Stomiiformes,Stomiidae,Photonectes,Photonectes margarita,GB,AP018417.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Perciformes,Zoarcidae,Lycenchelys,Lycenchelys muraena,GB,AP018418.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Perciformes,Stichaeidae,Eumesogrammus,Eumesogrammus praecisus,GB,AP018419.1,mitogenome,GB,other class,0,0,0,0,0,0,0
